,post,label,Comment_id
0,it s like that at most public boards ,noHate,13458115
1,i wonder if one of the victims opened the door to their apartment for some reason ,noHate,13367480
2,some people believe the jack o lantern also represents the ancient celtic warrior s tradition of taking the heads of their enemies as trophies ,noHate,30422449
3,ready go ,noHate,14651837
4,thanks ,noHate,30527903
5,com watch v krdycxpb4fs and then the entire myron fagan video youtube ,noHate,12870229
6,this is a video of a band from the upper silesian village of zebowice zembowitz fohrendorf it is the town with the highest percentage of germans in poland ,noHate,14053109
7,i can give you her skype and she will answer all your questions ,noHate,30399453
8,s rensen 19 r er f dt 8 april 1982 i kolding ,idk/skip,13591250
9,if i sent you some pic wound use be able to put them up cuz use dont have many also i have lots of links to give use,noHate,31713873
10,why are you afraid that your son might come and find you drunk in a bar 20 years later and try to kill you or something ,noHate,13617074
11,always speak out when in a class with a brainwashing teacher because once you speak others who may feel the same way may realize they are not alone but if you say nothing then everybody will without question go along with the anti white brainwashing ,noHate,30586609
12,here s the link http apps meadjohnson com forms jsp efb efb do ,noHate,30386096
13,http www stltoday com stltoday new a opendocument,noHate,13511568
14,they are doing the same to all the white nations ,relation,14059932
15,y ,noHate,30526591
16,neofolk ,noHate,14104444
17,they fit the same dna as the dna found in ancient mummies ,noHate,14673212
18,i would not be surprised if this woman was specifically targeted by local jews from her town for this abominable treatment ,hate,33222250
19,if they were jew pieces of garbage who the hell cares what happened to them ,hate,13481672
20,is it a good idea for them to release all these videos ,noHate,13501878
21,the sooner we acknowledge eachother in local areas and band together as a unit the sooner we become a strong white nation again ,noHate,14035837
22,88 jim,noHate,31728633
23,this would make me crazy if i saw it in person ,noHate,12860405
24,she says the class is out of control and the kids are unteachable and the black administration does not support her ,noHate,12848466
25,http www newnation tv forums showthread php t 207286,noHate,13458990
26,just the yo crap ,noHate,13449582
27,free edgar steele has announced the start of an official fundraising campaign with full support of cyndi steele fundraising campaign free edgar steele,noHate,13245714
28,when i was in grammar school i would go to the library every few days and get a new hardy boys book ,noHate,30561702
29,its a powerful symbol that strikes fear into the heart of our racial enemies theres a good video on youtube done by thule productions entitled the meaning of the swastika our holy aryan symbol here s the link the meaning of the swastika our holy aryan symbol youtube,noHate,30413458
30,regards draiodoir ,noHate,13864766
31,you lost the fight already ,noHate,30405478
32,he is a hero of mine ,noHate,30559316
33,that s why we need to keep in touch and stay organized ,noHate,14296825
34,look what white liberals have done ,relation,14651426
35,there are multitudes of great people here and a hearty welcome from my us all ,noHate,14104912
36,yes they did the jews claimed that jesus got his power from the devil to heal people of their illnesses ,noHate,33045538
37,any europeans traveling to this country must be insane i hope any whites traveling there stay safe and use good judgement at night ,noHate,13379474
38,apparently if the 2nd toe is bigger than the big toe it is a racial sign that your parents have confined their mating patterns to mixing within those of celtic stock ,noHate,13849943
39,careful what you laugh at ,noHate,13498188
40,that is only an issue to be sorted out with serbian moderators ,noHate,14055786
41,he just got completely knocked out should be fine i ve seen people flop around like a fish many times after being completely knocked out ,noHate,30582393
42,put that fat black idiot to work and she would nt be smirking at whitey and playing stupid for the camera at her welfare review hearing ,hate,13456820
43,sometimes pictures are worth a thousand words ,noHate,13482640
44,i think you already know the answer to your own question ,noHate,30632791
45,i hope this will catch on like the 14 words ,noHate,13462533
46,we just recently visited a relative in london lord god 2011 london is nothing like the 1950 s london i spent holidays in as a wee kid ,noHate,14031187
47,2508,noHate,13502231
48,i doubt it though ,noHate,13569459
49,if you have good grades do nt get in trouble are involved in extracurriculars and otherwise are a good citizen probably most teachers are nt going to take time out of their day unless your school is really liberal ,noHate,30462337
50,i know exactly what you re saying i just hate to see those worthless apes benefit from the great things that whites do ,hate,13456898
51,damn early euro fur traders could nt keep their hide pants on ,noHate,30436626
52,youtube,noHate,13472258
53,dessert ,noHate,14077746
54,bought the p226 today ,noHate,30622613
55,such as a person with one arm wheel chair ect ,noHate,30560308
56,get out there and lead by example ,noHate,13865833
57,that is how we get happy country ,noHate,13586816
58,i prefer male teachers and my girlfriend says she likes female teachers ,noHate,30709708
59,please message me ,noHate,14296672
60,we will be announcing congressional candidates and local office candidates in a few months ,noHate,14412097
61,my good friend and neighbor carries his like that too ,noHate,30439245
62,you can ignore reality but you cannot ignore the consequences of ignoring reality ,noHate,33496624
63,here s some good anime cowboy bebop real title is heaven s gate generally ok for kids akira a little disturbing for youngsters princess mononoke kid ok spirited away kid ok robotech kid ok golgo 13 violent ninja scrolls violent sexual situations vampire hunter d violent animatrix violent mature kids only check out adult swim on comedy central late at night ,noHate,30623737
64,other ethnic groups are allowed to have ethnocentric charter schools paid by taxpayers ,noHate,30447565
65,i heard the feds got him because he ate a chocolate bar and they charged him with racist eating lol now im sure he is ok atleast i hope so i look forward to his reading his wisdom as often as he posts it ,noHate,14270522
66, wethepeople realamericans,noHate,14669948
67,liberals have this illusion that genes pick and select which genes that get passed down and they think it only passes down the good ones ,relation,14675480
68,confirmed march 12 2011 youtube update 1pm cst not good ,noHate,13107589
69,i am white and i believe all white people know the difference between right and wrong no matter what they say about their political positions we are facing genocide as a people and the infighting is just loved by non whites ,hate,14678603
70,my ex girlfriends mother wrote that song ,noHate,13866670
71,ok how about i post a cool song that will cool us off youtube darkthrone transilvanian hunger with lyrics now come on people lets make some progress ,noHate,13442012
72,also notice that the nig giving the running commentary said nothing about the white boy a term the yard ape will never fail to use when given the chance ,hate,30582420
73,moby extreme ways the bourne clip youtube,noHate,14055056
74,norway 3 3 2001 3 9 2002 3 5 2003 1 8 2004 assuming population of 4 5 million sweden 2 6 2001 3 7 2002 3 5 2003 2 6 2004 assuming population of 8 9 million iceland is at about 0 2 ,noHate,13605248
75,thank you ,noHate,13859752
76,in the old days private security and armed whites would take care of this but maybe the negros are fighting smarter by taking on soft targets ,noHate,30390371
77,visit http holocausthandbooks com today,noHate,30413547
78,i used to enter horse competitions until i was thrown off one and broke my leg ,noHate,14101084
79,14 88,noHate,14082109
80,hey she passed away a few weeks ago now did you not read it in the papers or see it in the news ,noHate,14273611
81,unfortunately intelligent outliers of races generally not gifted with a high average intelligence can be very deadly ,noHate,14677489
82,they can be blue green or grey at different times ,noHate,30546921
83,i want to show them this thread ,noHate,13501262
84,arseniy yatsenyuk approved as ukraine s new prime minister arseniy yatsenyuk ukraine s new prime minister published february 27 2014 foxnews com source arseniy yatsenyuk approved as ukraine s new prime minister fox news,noHate,12856456
85,it s close to finnic and estonian ,noHate,12872204
86,and the sad thing is the white students at those schools will act like that too ,hate,12849464
87,japs are a total hoot each the center of the universe loud brash vain arrogant ,hate,30954922
88,i went back a cpl years ago and the black vermin were everywhere ,hate,30451625
89,old bible scholars beleive the bible was written by white germanic people ,noHate,30777933
90,gatsby coram stoney westmoreland fedex commercial vacation at home youtube,noHate,13470937
91,i have seen young white girl s and boy s acting like blacks with their baggy pant s and their hip hop ,noHate,13473247
92,although we have slight variances in our position here i want to thank all the posters who have kept this thread civil ,noHate,14030428
93,i need to get pics of her tonight when i get done shaving her ,noHate,14082739
94,alot of blue missing but it always goes bang and fits in my pants pocket better than my taurus tip up ,noHate,30431013
95,from norway to the fareo islands and then onto iceland ,noHate,14268777
96,does anyone have that video of black gang attacking a white teenagers in front of his house and then a black gang of females attack his mother for trying to protect her son ,noHate,13456517
97,thanks ive actually found this to be a very warm and welcoming site been reading for a few weeks now thought id register ,noHate,13867005
98,sub 70 i q i would say for sure ,hate,13379594
99,write back if you want to talk ,noHate,14107382
100,if you are putting bread on a white family s table they will follow you ,noHate,14408833
101,newsnet14 com thugreport com it s a shame most of the people that came here are just rambling about killing people though lol ,noHate,14407299
102,when you get to the site click on dark crimes ,noHate,13480343
103,the only thing negroes have is wishful want ,hate,14670410
104,i can sincerely tell you that i am certain he was a beautiful man and i love names of honour and those which hold origo within our folklore for him ,noHate,13595927
105,aimee,noHate,14105130
106,same with basketball and baseball ,noHate,30565021
107,support the boy scouts ,noHate,31769461
108,like the white african what the hell is her name ,noHate,12845607
109,i understand this but unfortunatly i have no one else to turn to ,noHate,13944391
110,i am in the same boat as you to an extent ,noHate,30552917
111,i was wondering the same thing when i first saw that this section was added ,noHate,31787598
112,im glad you re gay ,noHate,14669208
113,liberals go on about diversity and how we all need it but they have no problem with two completely different types of people blending together and being the same ,noHate,14027303
114,thus they have the title as the fattest people in the world ,noHate,13494117
115,you cant expect those poor underprivilidged blacks to have to put up with this cold weather ,hate,13854327
116,tnb ,relation,30439769
117,i ve started asking myself that question every day and every day it seems like i did nt do enough ,noHate,14438496
118,cats musical memory youtube,noHate,30491857
119,158 carpenter nib bcg 1 7 twist chf barrel and chamber comfy ctr stock etc ,noHate,30571599
120,anything ,noHate,14106203
121,boys and girls should nt wrestle each other ,noHate,30636316
122,absolute stupidity ,noHate,13059807
123,yeah they are buying a lot of houses around my area to probz so they can house there massive inbred family when they come over to the uk ,hate,14023149
124,bs ,noHate,14016815
125,i saw edwards on some tv show not long ago ,noHate,13246274
126,the lebanese are one of those who did the massacre at sabra and shattila under the direction of the juden state israel ,noHate,13621261
127,around 5 of estonians singing on one stage ,noHate,13587851
128,yeah they did this crap at my school when i was in kindergarten ,noHate,31732793
129,now young man ,noHate,13586328
130,call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on may 1 ,hate,14302798
131,thank goodness you re there to pick up the slack ,noHate,30852439
132,actually they will be raised by there mother along with their father the us government ,noHate,30751384
133,professor kassin s research focuses on the remarkable phenomenon of false confessions in criminal investigations which are far more common than one might expect ,noHate,30429569
134,id like to know more about this debate is anyone welcome and where exactly is it being held good work by the way mr roach nice publicity ,noHate,13862527
135,jesse matthew jr 32 was arrested near galveston texas last week and charged with abduction with intent to defile in connection with the disappearance of hannah graham 18 who is still missing ,noHate,14650949
136,i didnt say they d run but race mixing will eventually take over and america will be majority black or mixed race whites will be in the minority except for in certain republican nationalist areas,noHate,32576555
137,that s great ,relation,31766408
138,tell them we ll legalize drugs and pedophilia ,hate,14671829
139,love halloween even the contemporary themes ,noHate,30644511
140,anyone know ,noHate,14292758
141,tereasa,noHate,14112237
142,the only people he s demoralizing or trying to demoralize are the families of these dead troops at funerals ,relation,12882682
143,when the girl starts talking the guy in the middles lips start moving ,noHate,12855349
144,during the early punk scene he was always seen decked out in a union flag blazer then all a sudden an instant nationality transplant ,noHate,13857781
145,it is a total disgrace when tax payer dollars can go to promoting such degenerate filth ,hate,30451811
146,im trying to get a white nationalist group together in connecticut ,noHate,31777468
147,you acted like yourself ,noHate,14265509
148,false scotland is almost as bad as england and scottish females have an obsession with negro males well the ones i know do anyway ,noHate,14030847
149,according to the icsc about 150 000 stores are anticipated to shut down in 2009 which adds to the 150 000 that closed in 2008 and 135 000 in 2007 ,noHate,13147434
150,in the local student rag s dating section there was a letter sent in by a black guy complaining about white girls at this university shunning him and his other negro friends ,noHate,13587091
151,meanwhile the white boy is centered behind him and looks clueless ,noHate,13481903
152,hi i want to share these wonderful videos very beautiful teachers and great new methods for everybody can easily learn ,noHate,30415853
153,steve reed reporter three of the suspects charged with the murder of a 12 year old moore county girl were given suspended sentences for other crimes and were free on probation at the time of her slaying ,noHate,13288494
154,i m moving to a bigger house pretty soon and that map is perfect for doing a groidal analysis ,hate,13461331
155,hails,noHate,13858999
156,wanna talk im or pm me,noHate,14103519
157,http uk youtube com watch v cnps2ho 6w looks like they are calling a unit home with the express purpose of supressing a rebellion ,noHate,14411262
158,burlington coat factory opening ,noHate,14301771
159,i love it when jews get a taste of thier own vile medicene i hope each and every one of them young to old starve in the cold,hate,13475861
160,im sorry to burst your bubble but when people try to use a camera when police are involved they have all been uniformly been forced to turn off their cameras or they are arrested and cameras confiscated ,noHate,14413580
161,thanks for the replies ,noHate,30500254
162,your gonna get beat up by guys thats messed not even the sorenyos kids at my school hit girls unless its their whore ,noHate,31746354
163,putting it out there that i am in for a meet up feel free to private message me ,noHate,30389753
164,regurgitation of good info is better than ingestion of jewish disinformation ,hate,14417385
165, youtube,noHate,13455957
166,lying marxists ,hate,30534328
